id,date_added,incident_date,city,state,crime_type,camera_role,outcome,summary,source_name,source_url,additional_sources,confidence
11,2026-08-13,2026-08-08,Galt,CA,abduction/missing person,LPR system helped track suspect vehicle,suspect tracked,Galt police used Flock cameras to track a kidnapping suspect within 5 minutes of the incident.,ABC10,https://www.abc10.com/article/entertainment/television/programs/to-the-point/galt-police-say-flock-cameras-helped-track-kidnapping-suspect-in-5-minutes/103-0c673cca-21e1-4a82-9d7f-05df9b3e8aad,,medium
12,2026-08-13,2026-08-04,Moorhead,MN,theft/larceny,LPR technology used to develop leads on suspect vehicle and trailer location,arrest and trailer recovery,"Moorhead police used Flock license plate reader technology to track a stolen American Legion trailer containing $30,000 in Veterans Honor Flight merchandise. The technology helped identify the suspect vehicle and locate the trailer, leading to the arrest of 74-year-old Robert Andert on theft and property damage charges.",5 EYEWITNESS NEWS,https://kstp.com/kstp-news/local-news/flock-camera-tech-helps-moorhead-police-catch-staples-man-in-trailer-theft/,https://bringmethenews.com/minnesota-news/moorhead-police-use-flock-camera-to-track-down-veterans-groups-stolen-trailer https://www.aol.com/articles/moorhead-police-flock-camera-track-174618000.html,high
13,2026-08-13,2026-07-23,Hancock County,IN,theft/larceny,LPR alert identified wanted vehicle on Interstate 70,"arrest, cargo recovered","A Fresno man was arrested in Indiana after Greenfield Police Department's Flock Safety camera system detected a semi-truck linked to a $3 million cargo theft as it traveled on Interstate 70. The recovered cargo included nearly 40,000 pounds of tungsten oxide powder and LEGO products.",kmph.com,https://kmph.com/news/local/flock-camera-leads-to-arrest-in-3m-cargo-theft-case-in-indiana-involving-fresno-man,https://kmph.com/news/local/fresno-man-arrested-in-indiana-after-flock-cameras-track-truck-with3m-stolen-cargo-greenfield-police-department-mcfarland-california-ice-detention-facility-mitsubishi-materials-corporation-deepak-kumar,high
14,2026-08-13,2026-08-07,Galt,CA,abduction/missing person,vehicle tracking led to suspect apprehension,arrest,A kidnapping suspect was arrested after Galt police used Flock cameras to track the suspect's vehicle.,ABC10,https://www.abc10.com/article/news/crime/kidnapping-suspect-arrested-after-galt-police-track-vehicle-with-flock/103-09afe7b9-64a2-49db-ad70-6403609f749f,,medium
15,2026-08-13,2026-08-05,Somerville,AL,burglary,LPR identified suspect vehicle for traffic stop,"two arrests, stolen property recovered","Deputies responded to two burglaries on Fowler Road in Somerville and used the Flock license plate reader system to identify and stop a suspect vehicle. The driver was arrested and a subsequent search warrant recovered stolen items, leading to charges against two individuals.",WAFF,https://www.waff.com/2026/08/06/flock-camera-helps-deputies-arrest-two-somerville-burglaries/,,high
16,2026-08-13,2026-07-28,Burbank,CA,indecent exposure,ALPR technology identified suspect vehicle and located it for detention,arrest,"On July 28, 2026, Burbank Police used Flock Safety ALPR technology to identify and locate a suspect vehicle within an hour of an indecent exposure report on West Magnolia Boulevard, leading to the arrest of 29-year-old Ernesto Reyes, a registered sex offender. In a second case, Flock Safety ALPR technology assisted in identifying a suspect in an elder theft and identity theft case that occurred on May 26, 2026, resulting in the arrest of Raymond Hurtado on August 6, 2026.",MyBurbank.com,https://myburbank.com/use-of-flock-camera-system-leads-to-two-arrests-by-burbank-police/,,high
17,2026-08-13,2026-07-31,Grand Blanc Township,MI,carjacking,Automated LPR alert enabled vehicle location and suspect apprehension,Two suspects arrested,A Flock camera alert at 3 a.m. on July 31 led Grand Blanc Township police to locate a vehicle near Boulder Creek Apartments and arrest two suspects involved in an armed robbery and carjacking within five minutes of the alert.,WNEM,https://www.wnem.com/2026/07/31/police-arrest-two-suspected-armed-robbery-carjacking-following-flock-camera-alert/,,high
18,2026-08-13,2026-07-07,Mountain View,AR,burglary,LPR identified suspect vehicle and tracked movements across multiple locations,arrests and felony charges filed,"Two suspects were arrested for a series of overnight business break-ins in north-central Arkansas starting July 7 at Happy Hemp in Mountain View. Flock camera data identified a rented red Jeep Renegade near the scene and tracked its movements to multiple burglary locations, leading to the identification and arrest of both suspects.",White River Now,https://www.whiterivernow.com/2026/07/24/surveillance-video-flock-cameras-lead-to-arrests-in-happy-hemp-break-in-case/,,high
19,2026-08-13,2026-08-05,Laredo,TX,homicide,LPR alert identified suspect vehicle in parking lot,arrest,"A Flock camera flagged a black vehicle belonging to murder suspect Ashley Renea Guzman at a restaurant parking lot in Laredo, leading to her arrest after she had been wanted since failing to appear for a hearing in October 2024. Guzman was charged in the May 2022 killing of Gerardo Niño.",KGNS,https://www.kgns.tv/2026/08/05/laredo-murder-suspect-arrested-after-flock-camera-spots-car-parking-lot/,,high
20,2026-08-13,2026-07-08,Clinton Township,NJ,vehicle theft,alert identified stolen van entering township,"vehicle recovered, suspect arrested",A stolen U-Haul van was recovered in Clinton Township after a Flock Safety camera system alert notified police that the vehicle had entered the township. The driver was arrested and charged with receiving stolen property.,wrnjradio.com,https://wrnjradio.com/flock-camera-alert-leads-to-recovery-of-stolen-u-haul-van-in-hunterdon-county/,,high
21,2026-08-13,2026-07-26,Belmont,NC,vehicle theft,LPR alert flagged stolen vehicle entering city,"3 arrests (felon with firearm, unauthorized vehicle use, drug possession)","Flock cameras in Gaston County flagged a stolen vehicle on July 26, 2026, enabling Mount Holly police to locate and stop the car at an apartment complex in Belmont, resulting in the arrest of three suspects including a convicted felon found with a loaded handgun and a driver with an outstanding warrant.",WBTV,https://www.wbtv.com/2026/07/30/flock-cameras-flag-stolen-car-gaston-county-leading-3-arrests/,,high
23,2026-08-13,2026-06-15,North Olmsted,OH,vehicle theft,Flock alert located stolen vehicle in parking lot,"two suspects arrested, child rescued",Police used Flock cameras to locate a vehicle stolen in an armed robbery in Cleveland and found an 8-year-old child inside. Two suspects were arrested without further incident.,Cleveland 19 News,https://www.cleveland19.com/2026/06/17/police-arrest-2-after-flock-cameras-alerted-them-car-stolen-cleveland-was-city/,,high
24,2026-08-13,2026-07-05,Vicksburg,MS,theft/larceny,Real-time alert located stolen vehicle within city limits,"Vehicle recovered, suspect arrested",Vicksburg police recovered a truck stolen through a fraudulent sale and arrested Tevaughntae Rashad Owens after a Flock camera system alert notified officers the vehicle was in the city. The Flock LPR system significantly shortened the investigation by providing a real-time alert.,WLBT,https://www.wlbt.com/2026/07/05/vicksburg-pd-credits-flock-cameras-with-locating-stolen-truck-arresting-suspect/,https://vicksburgnews.com/flock-camera-system-helps-vicksburg-police-recover-stolen-truck/,high
25,2026-08-13,2026-05-24,Petaluma,CA,theft/larceny,LPR alert identified suspect vehicle location,arrest,"A 19-year-old was arrested after allegedly driving the getaway vehicle in a 7-Eleven cigarette theft on May 24. Petaluma police used the city's Flock camera system to locate the suspect vehicle parked nearby, leading to the driver's apprehension.",Petaluma Argus-Courier,https://www.petalumanews.com/2026/05/29/theft-suspect-in-petaluma-captured-using-flock-cameras-police-say/,,high
26,2026-08-13,2026-06-30,Pryor Creek,OK,vehicle theft,Real-time alert identified stolen trailer in jurisdiction,"Driver arrested, trailer recovered","A Flock alert notified Pryor Creek police of a stolen U-Haul trailer traveling through their jurisdiction on June 30, 2026. Officer Gibson located and stopped the vehicle, leading to the arrest of driver Michael Eugene Leffler and recovery of the trailer stolen from Tulsa.",KOAM News Now,https://www.koamnewsnow.com/news/joplin-news-first/flock-camera-alerts-stolen-trailer-driver-arrested-trailer-recovered-in-pryor/article_ad59aa78-ff8e-4259-b4ac-0ee3b018b8a6.html,,high
28,2026-08-13,2026-07-30,,,vehicle theft,detected stolen vehicle,vehicle identified,"A Flock Camera detected a stolen vehicle, leading to an incident in which two police cruisers were rammed.",Eyewitness News (WEHT/WTVW),https://www.tristatehomepage.com/news/crime/stollen-vehicle-call-ends-with-rammed-epd-patrol-car/,,low
29,2026-08-13,2026-04-21,Huntersville,NC,vehicle theft,LPR hit located suspect vehicle,arrest,Huntersville police used a Flock camera to locate and apprehend a suspect in connection with a stolen vehicle.,Queen City News,https://www.qcnews.com/news/u-s/north-carolina/mecklenburg-county/huntersville/flock-camera-leads-huntersville-police-to-stolen-vehicle-arrest/,,medium
30,2026-08-13,2026-07-23,Gulf Shores,AL,robbery,LPR data helped locate suspect vehicle,"8 suspects arrested, firearms recovered",Eight suspects were arrested for an armed robbery at a Gulf Shores residence where guns were stolen and victims were threatened. Flock Safety camera data helped police rapidly locate the suspect vehicle and identify the perpetrators.,1819 News,https://1819news.com/news/item/gulf-shores-police-credit-flock-camera-data-in-tracking-armed-robbery-suspects-8-teens-arrested,,high
31,2026-08-13,2026-08-04,Gastonia,NC,burglary,Real-time alert identified suspect vehicle wanted in burglary investigation,"Six arrests, stolen dog recovered, explosive device seized","Gastonia Police used a Flock camera alert to identify a vehicle connected to a Burke County burglary where a dog and gun were stolen. The subsequent traffic stop and search warrant led to the recovery of the stolen dog, discovery of an improvised explosive device, and arrests of six individuals on drug and weapons charges.",Yahoo,https://www.yahoo.com/news/us/articles/flock-camera-leads-six-arrests-175246503.html,https://www.wbtv.com/2026/08/04/6-arrested-stolen-dog-rescued-after-flock-cameras-flag-wanted-vehicle-gaston-county/,high
32,2026-08-13,2026-07-22,Haverhill,MA,theft/larceny,LPR alert detected stolen license plates on vehicle,arrest and charges filed,"A Flock LPR camera in Haverhill detected stolen Massachusetts license plates attached to a gray Subaru on July 22, 2026. Officers responded to the alert, located the vehicle, and arrested the driver, 67-year-old Meredith Collins of Georgetown, who was charged with receiving stolen property and related vehicle violations.",News Link Live,https://newslinklive.com/2026/08/06/georgetown-woman-arrested-after-flock-camera-detects-stolen-plates-on-subaru-in-haverhill/,,high
33,2026-08-13,2026-06-16,Whitfield County,GA,vehicle theft,LPR hit identified stolen vehicle license plate and travel direction,"arrest, vehicle recovered","A Flock camera detected a stolen vehicle on I-75 in Whitfield County, Georgia, leading deputies to attempt a traffic stop. The 22-year-old driver fled and crashed during the pursuit, resulting in arrest and multiple charges.",Local 3 News,https://www.local3news.com/local-news/update-driver-of-stolen-car-spotted-by-flock-camera-crashes-during-pursuit-on-i-75/article_eed220e0-e59a-4055-833e-a27a3cee4565.html,,high
34,2026-08-13,2026-01-09,Hampton,TN,theft/larceny,footage captured suspect's facial images during camera removal,arrest,"A Hampton man was arrested for stealing a Flock traffic camera and throwing it into a river. The camera's own images captured clear facial photos of the suspect, which led investigators to identify and apprehend him.",WCYB,https://wcyb.com/news/local/hampton-man-accused-of-stealing-flock-traffic-camera-throwing-it-in-river,,high
35,2026-08-13,2026-07-05,Louisville,KY,vehicle theft,LPR alert detected stolen motorcycle and tracked its location,"arrest, methamphetamine seized","Louisville Metro Police used Flock Safety camera alerts to locate and stop Anthony Richardson riding a stolen motorcycle on July 5, 2026. Officers arrested Richardson and seized one ounce of methamphetamine from him.",WDRB,https://www.wdrb.com/news/crime-reports/lmpd-credits-flock-cameras-for-arrest-involving-stolen-motorcycle-drug-possession/article_2db758c1-0da3-45ca-b9af-e91ad6035971.html,,high
36,2026-08-13,2026-06-21,Thomaston,GA,vehicle theft,LPR detected stolen vehicle passing camera on Avenue F,vehicle recovered,"A vehicle stolen from a 6th Avenue residence early Sunday morning (June 21) was recovered the same afternoon with assistance from the Flock camera system, which detected the car passing a camera on Avenue F at 2:20 a.m., enabling officers to locate and pursue it.",upsonbeacon.com,https://www.upsonbeacon.com/news/tpd-stolen-car-recovered-same-day-with-flock/article_38e1b0b0-fe22-42f0-a480-01d776fcb274.html,,high
37,2026-08-13,2026-02-20,Evansville,IN,robbery,LPR identified suspect vehicle license plate; real-time tracking located suspect,"arrest, charges filed","On February 20, 2026, an elderly woman in Evansville was robbed at knifepoint by a man who followed her home from a casino. Detectives used Flock camera footage to identify the suspect vehicle's license plate, track the victim's route to confirm she was followed, and locate the suspect vehicle in real time, leading to the arrest of Minh Quang Ton on burglary and robbery charges.",Vanderburgh County Sheriff's Office,https://vanderburghsheriff.org/detectives-utilize-flock-cameras-to-identify-and-locate-robbery-suspect/,,high
38,2026-08-13,2026-04-09,,KY,fugitive apprehension,identified suspect leading to arrest,arrest,Flock Safety cameras assisted in locating and apprehending a man wanted in Kentucky.,The Marion Star,https://www.marionstar.com/story/news/crime/2026/04/09/marion-county-arrest-made-after-stolen-bronco-found-with-flock-camera/89519341007/,,low
39,2026-08-13,2026-05-26,Lewiston,ME,vehicle theft,LPR system located stolen vehicle,"vehicle located, pursuit initiated","Flock cameras assisted Lewiston police in locating a stolen truck, leading to a pursuit.",newscentermaine.com,https://www.newscentermaine.com/video/news/local/lewiston-auburn/flock-cameras-assist-lewiston-police-in-locating-a-stolen-truck-pursuit-follows/97-80643a1a-781a-4d52-9a9f-72f32bd3190e,,medium
40,2026-08-13,2026-07,Callahan,FL,theft/larceny,Flock camera caught stolen trailer on camera,three arrests,"Three people were arrested after stealing over $19,000 in baseball gear and equipment from West Nassau High School. A Bradford County Flock camera captured the stolen trailer, providing key evidence that helped investigators identify the suspects and close the months-long investigation.",104.5 WOKV,https://www.wokv.com/news/local/disrupted-their-season-nassau-sheriff-shares-details-after-triple-arrest-stolen-baseball-gear/2JRUFKOC3RGLTDO2QB4WFBYMLA/,,high
41,2026-08-13,2026-07-13,Houston,TX,robbery,LPR system located suspect vehicle at identified location,arrest,"A man robbed a First Convenience Bank on Eastex Freeway on July 13, 2026, using a note claiming to have a gun. Harris County authorities used Flock camera systems to identify and locate the suspect's vehicle, leading to the arrest of Jonathan Black, who was found with the stolen money and the note.",ABC13 Houston,https://abc13.com/post/hcso-credits-flock-cameras-bank-robbery-suspects-arrest/19513819/,,high
42,2026-08-13,2026-07-10,,,vehicle theft,real-time alert located stolen vehicle,"vehicle recovered, arrest made","A Flock camera alert led police to a stolen vehicle, resulting in the arrest of a 15-year-old driver.",MLive.com,https://www.mlive.com/news/kalamazoo/2026/07/flock-camera-alert-leads-police-to-stolen-vehicle-arrest-of-15-year-old-driver.html,,medium
43,2026-08-13,2026-05-12,Lewisville,TX,vehicle theft,Flock camera alert identified stolen vehicle,"arrest, methamphetamine seized, stolen property recovered","Lewisville PD received a Flock camera alert on Sunday about a suspected stolen vehicle and located it shortly after. Upon pulling over the vehicle, officers arrested Andrew Robinson and discovered nearly 30 grams of methamphetamine and property stolen from a vehicle in Highland Village.",crosstimbersgazette.com,https://www.crosstimbersgazette.com/2026/05/14/cameras-help-lewisville-pd-seize-meth-in-stolen-car-find-man-that-broke-into-car-in-highland-village/,,high
44,2026-08-13,2026-05-20,West Memphis,AR,vehicle theft,"LPR detected stolen vehicle, led to traffic stop","arrest, weapons recovered","Two teenagers were caught after a multi-state crime spree involving a stolen truck and multiple burglaries. A Flock camera captured the stolen vehicle in West Memphis on May 20, enabling police to stop the suspects and recover 12 stolen guns and other property.",WSMV,https://www.wsmv.com/2026/05/22/teens-caught-tn-with-dozen-stolen-guns-after-alleged-multi-state-crime-spree/,,high
45,2026-08-13,2026-06-16,Alexandria,VA,other,LPR hit identified suspect vehicle with distinctive damage,arrest and charges filed,A 21-year-old man was arrested for destroying multiple Flock Safety cameras across Alexandria using a baseball bat. A Flock camera LPR hit on his damaged Subaru Forester at Commonwealth Avenue and E. Uhler Avenue identified him as the suspect operating the vehicle during the time of the destruction spree.,ALXnow,https://www.alxnow.com/2026/07/14/alexandria-man-arrested-for-allegedly-destroying-multiple-license-plate-readers/,,high
46,2026-08-13,2026-08-04,Morgantown,WV,,investigation assistance,arrest,An alleged accomplice was arrested in connection with a Morgantown case in which Flock cameras assisted the investigation.,WBOY.com,https://www.wboy.com/news/crime/wvu-student-accused-of-destroying-flock-cameras/,,low
47,2026-08-13,2026-07-02,Boone,NC,homicide,"ALPR alert flagged suspect vehicle entering town, enabling real-time location and apprehension",arrest,"A 20-year-old South Carolina man wanted for murder was arrested at the Watauga County Recreation Center after a Flock Safety automated license plate reader alert notified police of his vehicle entering Boone on July 2, 2026. The real-time alert allowed officers to quickly locate and take the suspect into custody.",Watauga Democrat,https://www.wataugademocrat.com/news/local/boone-pd-flock-camera-leads-to-arrest-of-south-carolina-murder-suspect/article_8236ed3f-dadc-4c5e-b2d7-e8e4227599e6.html,https://wataugaonline.com/flock-alpr-alert-leads-to-arrest-of-south-carolina-murder-suspect/ https://whky.com/murder-suspect-wanted-in-south-carolina-arrested-in-boone-following-flock-safety-alert/,high
48,2026-08-13,2026-05,Manor,TX,shooting,LPR identified suspects' vehicles,three suspects arrested,"A shooting spree across Austin resulted in four injuries over several days. Manor Police Department used its Flock Safety ALPR network to identify the suspects' vehicles, leading to the swift apprehension of three juvenile suspects and ending the spree.",Police1,https://www.police1.com/law-enforcement-policies/austin-mayor-top-cop-alpr-system-could-have-led-to-quicker-arrests-in-shooting-spree,,high
49,2026-08-13,2026-07-08,Boone,NC,homicide,assisted in suspect apprehension,arrest,A Flock camera helped Boone police arrest a South Carolina murder suspect. The system played a direct role in locating and apprehending the suspect.,WCNC,https://www.wcnc.com/article/news/crime/south-carolina-murder-suspect-arrested-boone-north-carolina-flock-camera-license-plate-reader/275-893aacde-59c6-474f-9982-a3e387d3a9f7,,medium
50,2026-08-13,2026-05-06,Kentwood,MI,hit and run,"LPR timeline established vehicle presence before and after collision, identifying mirror loss and headlight damage",arrest and charged with felony failure to stop at scene of accident resulting in death,"A 17-year-old was fatally struck by a vehicle in Kentwood on May 6, 2026. Flock cameras captured the suspect vehicle three times that evening, documenting the loss of a side mirror and headlight damage consistent with the collision, which helped investigators identify and arrest the driver.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334597/0/en/flock-cameras-build-timeline-that-leads-to-arrest-in-fatal-kentwood-hit-and-run.html,,high
51,2026-08-13,2026-05-02,Wichita,KS,homicide,LPR data generated leads used overnight investigation,suspect arrested on felony murder charge,"A man was shot multiple times in a Wichita parking lot on May 2, 2026, and died from his injuries. Flock camera data helped investigators generate leads that led to the arrest of a 26-year-old suspect by Sunday morning.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334596/0/en/flock-camera-data-helps-wichita-police-arrest-murder-suspect-overnight.html,,high
52,2026-08-13,2026-07-22,Defiance,OH,abduction/missing person,Flock camera flagged vehicle associated with missing person case,"missing person found safe, arrest made, drugs seized","Defiance police stopped a vehicle on July 22 after a Flock Safety camera flagged it as associated with an active missing person investigation. The stop led to the recovery of a missing person in good health, the arrest of Josue Valdez Flores, and the seizure of approximately 20 pounds of suspected marijuana and cocaine.",WTVG,https://www.13abc.com/2026/07/23/defiance-police-find-missing-person-20-pounds-drugs-after-flock-camera-flags-vehicle/,,high
53,2026-08-13,2026-05-03,Ankeny,IA,hit and run,LPR confirmed license plate number of suspect vehicle,arrest,"A 14-year-old girl was struck by a vehicle while riding an electric scooter in Polk County on May 3, 2026, and the driver fled. Flock LPR cameras confirmed the suspect vehicle's license plate, enabling deputies to identify and arrest an 18-year-old man approximately 90 minutes after the incident.",Yahoo Finance Singapore,https://sg.finance.yahoo.com/news/flock-lpr-tesla-footage-combine-153500121.html,https://www.globenewswire.com/news-release/2026/07/28/3334518/0/en/flock-lpr-and-tesla-footage-combine-to-help-polk-county-deputies-arrest-hit-and-run-suspect-in-90-minutes.html,high
54,2026-08-13,2026-05-10,Wichita,KS,homicide,Flock camera technology used to identify and locate suspect,arrest,"A 24-year-old man was shot and killed in downtown Wichita on May 10, 2026. Flock camera technology, along with other tools, was used to identify and locate the suspect, a 22-year-old man who was arrested in connection with the homicide.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334284/0/en/flock-cameras-help-wichita-police-arrest-homicide-suspect-in-downtown-shooting.html,,high
55,2026-08-13,2026-07-06,Ketchum,ID,assault,"LPR identified suspect vehicle at traffic light, led to vehicle location and arrest",arrest,"A suspect pointed a gun at a homeowner in Ketchum, Idaho. Blaine County deputies used Flock Safety cameras to identify the suspect's license plate at a traffic light, locate the vehicle, and arrest Robert Arthur Lengkeek on felony aggravated assault charges.",KMVT,https://www.kmvt.com/2026/07/14/flock-cameras-help-deputies-arrest-suspect-accused-pointing-gun-homeowner-blaine-county/,,high
56,2026-08-13,2026-05-01,Federal Way,WA,homicide,LPR identified suspect vehicle in area prior to shooting,arrest and charged with first-degree murder,"A man was fatally shot at his Federal Way home on May 1, 2026. Flock cameras captured the suspect's red Subaru in the area in the 24 hours before the shooting, helping locate and identify the suspect, who was arrested the following day in Spokane.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334658/0/en/flock-lpr-helps-resolve-federal-way-murder-arrest-follows-the-next-day.html,,high
57,2026-08-13,2026-05-05,Baton Rouge,LA,shooting,"LPR identified suspect vehicle, enabling rapid arrest",three suspects arrested,"Three cousins were arrested within minutes of shooting a teenager exiting a school bus in East Baton Rouge Parish on May 5, 2026. Flock LPR cameras and license plate reader technology allowed deputies to quickly identify and locate the suspect vehicle before the suspects could flee the area.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334488/0/en/flock-lpr-helps-east-baton-rouge-deputies-arrest-three-suspects-in-school-bus-shooting-within-minutes.html,,high
58,2026-08-13,2025-12,Columbus,OH,homicide,"LPR network located suspect vehicle, leading to suspect identification",suspect arrested and charged with aggravated murder,"Spencer and Monique Tepe were fatally shot in their Columbus home in late December 2024. Columbus police used Flock Safety's license plate reading camera system to locate a suspect, Michael McKee, who has been charged with aggravated murder in their deaths.",The Columbus Dispatch,https://www.dispatch.com/story/news/local/2026/08/10/tepe-family-weighs-in-on-columbus-flock-debate-as-police-defend-tool/91248509007/,,high
59,2026-08-13,2026-08-04,Laredo,TX,theft/larceny,LPR identified suspects in convenience store thefts,3 suspects caught,Laredo Police Department used a Flock Safety camera to identify and catch 3 suspects involved in convenience store thefts. The camera system assisted in locating and apprehending the perpetrators.,KGNS,https://www.kgns.tv/video/2026/08/05/lpd-uses-flock-safety-camera-catch-3-suspects-convenience-store-thefts/,,high
60,2026-08-13,2026-04-23,Brookhaven,GA,shooting,LPR identified same vehicle across multiple shooting locations,suspect identified and taken into custody,"Three people were killed in a series of shootings across Brookhaven and DeKalb County, Georgia with no initial suspect connection. Flock LPR cameras, including one placed in an HOA community, identified the same vehicle across multiple crime scenes, providing the critical lead that allowed law enforcement to identify and arrest a suspect within hours.",Flock Safety,https://www.flocksafety.com/blog/how-an-hoa-lpr-camera-helped-identify-a-suspect-in-a-deadly-shooting-spree,,high
